sub_dimension,POS_flag,POS_count,descriptions
事件,v,67,"怀孕, 瘫痪, 住院, 生病, 违章, 退款, 上学, 结婚, 赡养, 拜把子, 背叛, 探亲, 拜年, 团聚, 育儿, 上班, 学习, 打扮, 过年, 去世"
,vn,38,"举报, 生育, 抚养, 陪护, 成长, 化妆, 娱乐, 升学, 比赛, 养老, 聚会, 考试, 采购"
,n,29,"婚姻, 高考, 中考, 手术, 车祸, 工作, 生活, 游戏, 购物节, 活动"
,t+v,1,酒后+驾驶
交通工具,n,40,"救护车, 电动车, 摩托车, 童车, 婴儿车, 滑板车, 学步车, 自行车, 三轮车, 轮椅, 公交车, 汽车, 地铁, 货车"
,nz,2,扭扭车
,a+n,1,安全+座椅
,v,1,推车
人际关系,n,213,"妻子, 孩子, 父母, 子女, 家长, 老人, 亲戚, 亲人, 朋友, 冤家, 邻里, 街坊, 医患, 患者, 家人, 父亲, 母亲, 兄弟, 姐妹, 儿媳, 孙子, 孙女, 婴儿, 手足, 嫂子, 弟妹, 侄子, 侄女, 外婆, 舅舅, 舅妈, 姨妈, 姨夫, 外公, 骨肉, 女婿, 外孙, 外孙女, 爷爷, 奶奶, 弟弟, 妹妹, 姐姐, 哥哥, 伯父, 伯母, 大爷, 大娘, 叔叔, 婶子, 姑妈, 姑父, 丈夫, 儿子, 女儿, 岳父, 岳母, 外甥, 外甥女, 同学, 同事, 堂弟, 堂哥, 堂姐, 堂妹, 姑姑, 阿姨, 保姆, 婶婶, 表姐妹, 堂兄弟, 堂姐妹, 姨母, 舅母, 病人, 家属, 学生, 骨肉, 亲家"
体型,a,12,"蹒跚, 矮, 瘦弱, 瘦, 高, 胖, 干瘦, 虚弱"
,v,4,驼背
其它,n,1,天使
,v,1,希望
动植物,n,30,"花朵, 盆栽, 蔬菜, 花, 鸟, 鱼, 玫瑰, 幼苗, 小树, 花草, 狗, 猫, 草, 树"
,nz,4,"康乃馨, 百合花"
医疗健康,n,68,"手术刀, 听诊器, 医嘱, 轮椅, 产房, 儿科, 老年病, 骨质疏松, 膏药, 脑卒中, 偏瘫, 降压药, 妇科, 产科, 避孕药, 近视, 蛀牙, 乳腺癌, 拐杖, 老花, 肿瘤, 高血压, 冠心病, 肺炎, 糖尿病, 眼科, 弱视, 口腔科, 正畸, 中药, 白内障, 关节炎, 心梗, 脑梗, 胃炎, 癌症, 针筒, 药品"
,vn,17,"陪护, 拔牙, 按摩, 换牙, 骨折, 牵引, 康复治疗"
,nz,14,"阿尔兹海默症, 中风, 慢性支气管炎, 胆囊病, 前列腺肥大, 腰间盘突出, 高血脂"
,v,9,"打点滴, 整牙, 发高烧, 远视"
,n+v,3,关节+置换，医疗+美容
,nz+n,1,帕金森+病
品质/性格,a,302,"粗暴, 温柔, 勤俭, 能干, 懒散, 热情, 认真, 仔细, 活泼, 积极, 勤奋, 散漫, 勇敢, 大胆, 懒惰, 冷漠, 善良, 无私, 辛苦, 热心, 细心, 调皮, 可爱, 聪明, 懂事, 乖巧, 淘气, 顽劣, 顽皮, 天真, 听话, 仗义, 靠谱, 慈祥, 严厉, 固执, 倔强, 慈爱, 保守, 贤惠, 高贵, 娇气, 豪放, 单纯, 妩媚, 质朴, 淳朴, 纯朴, 动人, 细腻, 坚强, 坚韧, 直率, 开朗, 腼腆, 害羞, 慷慨, 大方, 漂亮, 友善, 机灵, 和蔼, 严肃, 可信, 独立, 优雅, 豪爽, 节俭, 亲切, 忠厚, 耿直, 直爽, 老练, 抠门, 宽厚, 娴熟, 凶悍, 风趣, 粗心, 硬朗, 迟钝, 高大, 威猛, 强壮, 瘦弱, 敏捷, 莽撞, 稳重, 糊涂, 刻薄, 小气, 不耐烦, 马虎, 细致, 熟练, 血气方刚"
