sub_dimension,POS_flag,POS_count,descriptions
事件,v,33,"吃药, 吃饭, 品尝, 学习, 照顾, 看护, 约会, 丢失, 睡觉, 起床, 出门, 相亲, 开会, 打球, 看病, 休息, 上班, 生病, 下班, 放松"
,n,5,"节日, 社交, 运动会, 健身房, 工作"
,vn,5,"演出, 考试, 演讲, 胜利, 治疗"
交通工具,n,32,"车, 自行车, 出租车, 公交车, 地铁, 火车, 船, 救护车, 公交"
人际关系,n,36,"熟人, 父母, 同学, 爷爷, 奶奶, 学生, 同事, 儿子, 女儿, 老人, 病人, 患者"
其它,n,6,"障碍, 方向, 精力, 生意, 关系, 情感"
功能/能力,v,46,"充饥, 解渴, 响, 提醒, 庆祝, 驱赶, 上班, 吃饭, 锻炼, 同意, 赞同, 表达, 否定, 休息, 稳住, 安慰, 获取, 去除, 上课, 恢复, 赚钱, 获得, 放松, 学习, 出门, 治病, 保持, 治愈"
,vn,17,"购物, 帮助, 转换, 运动, 拾取, 走路, 沟通, 清理, 娱乐, 联系"
,n,9,"活, 社交, 活动, 会议"
,v+a,1,填+饱
动作,v,166,"见, 看见, 看到, 瞧, 望, 瞥, 目睹, 发现, 理解, 浏览, 失败, 探索, 尝试, 发觉, 发掘, 察觉, 嗅, 撑, 振作, 食, 尝, 咬, 吞, 吐, 吸, 嚼, 喝, 上瘾, 生病, 吃, 吮, 收, 引, 拍, 打, 捶, 扣, 钻研, 深造, 进修, 研习, 练习, 锤炼, 磨练, 换衣服, 开车, 搭车, 坐地铁, 狼吞虎咽, 开怀, 饮酒, 细嚼慢咽, 伸手, 跟随, 搀, 拥抱, 张开, 搂, 收拢, 抓获, 伸直, 前移, 抓住, 收回, 取, 要, 交错, 捏, 抓, 弯腰, 蹲下, 蹲, 趴, 寻找, 拿, 拔, 捡, 坐下, 躺下, 弯曲, 走, 迈出, 抬腿, 出门, 坐车, 喝水, 夹, 咀嚼, 躺, 闭眼, 坐, 翻页, 看, 听, 说, 擦, 淋, 涂抹, 搓, 抬手, 下蹲, 查询, 骑车, 点击, 举, 仰, 嫌弃, 咽, 穿"
,vn,12,"实验, 训练, 穿鞋, 走路, 喝咖啡, 扭动, 吞咽"
,n,4,"侧抱, 手掌, 蹬, 记录"
动植物,n,13,"宠物, 鹿, 兔子, 鳄鱼, 老虎, 狮子, 狗, 狼, 向日葵, 宠物狗, 花, 树, 枝蔓"
医疗健康,n,21,"药, 听诊器, 味觉, 障碍, 药品, 石膏, X光, 伤口, 输液管, 病历, 腰部, 止痛膏, 拐杖, 药物, 医疗器械, 病症, 水分, 疾病"
,nz,4,"红花油, 安眠药, 褪黑素, 健胃消食片"
,vn,2,"孕吐, 扭伤"
,n+n,1,医疗+场所
,vn+n,1,缝合+线
医疗康复,vn,3,"康复, 中毒"
地点,n,97,"实验室, 图书馆, 餐厅, 食堂, 家, 小摊, 酒店, 咖啡店, 茶室, 门, 学校, 运动场, 操场, 球场, 健身房, 体育馆, 电影院, 医院, 酒吧, 咖啡馆, 课堂, 养老院, 篮球场, 教室, 画室, 花园, 卧室, 厕所, 山洞, 跑道, 地面, 办公室, 宿舍, 书店, 公司, 商店, 单位"
,s,7,"户外, 室外, 门口"
,f,1,外面
,nr,1,KTV
天气,n,4,"晴天, 雷声, 台风, 雷"
家居,n,43,"书桌, 台灯, 手机, 平板, 门, 冰箱, 柜子, 茶几, 插头, 床, 茅坑, 跑步机, 椅子, 餐桌, 枕头, 被子, 桌子, 沙发, 电视, 马桶, 热水器, 牙刷, 鞋架, 电脑"
文化娱乐产品,n,30,"电脑, 音乐, 唢呐, 游戏, 视频, 电影, 电视剧, 小说, 日记, 散文, 诗, 歌, 剧本, 漫画, 动画, 书, 知识, 综艺, 新闻, 网络"
,v,1,品酒
时间,TIME,54,"早上, 中午, 晚上, 下午"
,v,14,"休息, 看电视, 吃饭, 生病, 回家, 出差, 开会, 放学, 下课, 打电话, 聊天"
,vn,6,"用药, 会面, 运动, 康复, 放假"
,a,3,"难受, 日常"
,d,2,一直
,an,1,口渴
,n,1,事故
,t,1,睡前
