id,sub_dimension,desc_sort_by_dim,frequency
1,事件,上班,3
2,事件,下班,1
3,事件,丰收,5
4,事件,亲戚,13
5,事件,休息,11
6,事件,住院,7
7,事件,做饭,1
8,事件,健身,1
9,事件,出门,11
10,事件,办公,7
11,事件,化妆,2
12,事件,发烧,1
13,事件,受伤,2
14,事件,变质,7
15,事件,吃药,1
16,事件,吃饭,35
17,事件,学习,23
18,事件,客人,4
19,事件,家,3
20,事件,工作,7
21,事件,庆祝,3
22,事件,康复,1
23,事件,开会,1
24,事件,怀孕,7
25,事件,成长,2
26,事件,手术,3
27,事件,打扫,1
28,事件,拍照,1
29,事件,掉落,4
30,事件,放松,1
31,事件,整理,1
32,事件,旅行,2
33,事件,比赛,3
34,事件,治疗,1
35,事件,洗,3
36,事件,洗漱,5
37,事件,洗澡,3
38,事件,洗衣服,2
39,事件,游戏,1
40,事件,照顾,18
41,事件,玩耍,5
42,事件,生病,14
43,事件,生育,4
44,事件,电视,1
45,事件,看病,3
46,事件,睡觉,4
47,事件,社交,2
48,事件,穿戴,1
49,事件,约会,4
50,事件,结婚,11
51,事件,考试,15
52,事件,聚会,11
53,事件,装修,7
54,事件,读书,1
55,事件,购买,1
56,事件,走,2
57,事件,起床,4
58,事件,跳舞,1
59,事件,车祸,6
60,事件,过节,9
61,事件,锻炼,4
62,事件,饿,1
63,事件,骑车,1
64,交通工具,交通,3
65,交通工具,地铁,13
66,交通工具,救护车,4
67,交通工具,椅子,1
68,交通工具,汽车,53
69,交通工具,火车,19
70,交通工具,电动车,4
71,交通工具,自行车,20
72,交通工具,船,15
73,交通工具,超市,8
74,交通工具,车,21
75,交通工具,轮椅,7
76,交通工具,飞机,13
77,人际关系,亲戚,20
78,人际关系,侄女,3
79,人际关系,侄子,3
80,人际关系,保姆,1
81,人际关系,儿子,37
82,人际关系,兄弟,11
83,人际关系,叔叔,31
84,人际关系,同事,19
85,人际关系,同学,16
86,人际关系,女,3
87,人际关系,女儿,40
88,人际关系,女朋友,3
89,人际关系,妈妈,102
90,人际关系,姐妹,24
91,人际关系,嫂子,3
92,人际关系,学生,4
93,人际关系,孩子,54
94,人际关系,客人,21
95,人际关系,室友,10
96,人际关系,家人,88
97,人际关系,弟妹,3
98,人际关系,弟弟,5
99,人际关系,晚辈,8
100,人际关系,朋友,40
101,人际关系,爷爷,2
102,人际关系,爸爸,95
103,人际关系,病人,35
104,人际关系,祖母,54
105,人际关系,祖父,48
106,人际关系,老人,22
107,人际关系,老师,1
108,人际关系,邻居,5
109,人际关系,阿姨,19
110,人际关系,青年,1
111,体型,瘦,1
112,体型,矮,2
113,体型,胖,1
114,体型,脆弱,6
115,体型,驼背,4
116,体型,高,1
117,体积/范围/大小,大,100
118,体积/范围/大小,宽,8
119,体积/范围/大小,宽敞,3
120,体积/范围/大小,小,141
121,体积/范围/大小,手,4
122,体积/范围/大小,拥挤,3
123,体积/范围/大小,正常,1
124,体积/范围/大小,瘦,4
125,体积/范围/大小,短,6
126,体积/范围/大小,矮,1
127,体积/范围/大小,窄,5
128,体积/范围/大小,粗,5
129,体积/范围/大小,细,4
130,体积/范围/大小,胖,1
131,体积/范围/大小,脆弱,1
132,体积/范围/大小,长,11
133,体积/范围/大小,高,2
134,其它,天气,18
135,其它,时间,5
136,其它,活泼,1
137,功能,上楼,2
138,功能,上班,3
139,功能,上网,6
140,功能,上课,1
141,功能,下楼,2
142,功能,交通,4
143,功能,休息,9
144,功能,住院,1
145,功能,促进,2
146,功能,保护,3
147,功能,做饭,1
148,功能,健身,2
149,功能,光,1
150,功能,写,4
151,功能,冷,4
152,功能,凉爽,1
153,功能,减肥,2
154,功能,出门,4
155,功能,办公,1
156,功能,去除,2
157,功能,吃,19
158,功能,吃饭,5
159,功能,听,1
160,功能,吹,2
161,功能,喝水,1
162,功能,回家,1
163,功能,坐,2
164,功能,外卖,1
165,功能,学习,3
166,功能,庆祝,3
167,功能,康复,3
168,功能,开会,1
169,功能,手术,1
170,功能,拿,1
171,功能,支撑,4
172,功能,放,3
173,功能,放松,8
174,功能,整理,15
175,功能,旅行,7
176,功能,暖,6
177,功能,比赛,1
178,功能,治疗,7
179,功能,洗,7
180,功能,洗漱,1
181,功能,洗澡,3
182,功能,洗衣服,1
183,功能,活,3
184,功能,测量,3
185,功能,消化,1
186,功能,游戏,3
187,功能,烹饪,4
188,功能,照顾,1
189,功能,煮,1
190,功能,玩耍,2
191,功能,看,4
192,功能,看病,1
193,功能,睡觉,3
194,功能,社交,6
195,功能,穿戴,1
196,功能,聊天,2
197,功能,脱下,2
198,功能,舒服,2
199,功能,补充,9
200,功能,表达,5
201,功能,装饰,7
202,功能,解渴,13
203,功能,触摸,1
204,功能,记录,2
205,功能,调味,3
206,功能,购买,6
207,功能,走,3
208,功能,躺,1
209,功能,遮阳,4
210,功能,锻炼,12
211,功能,防护,3
212,功能,防晒,4
213,功能,防止,4
214,功能,陪伴,2
215,功能,饱腹,3
216,功能,骑车,1
217,动作,上班,3
218,动作,下雨,1
219,动作,丰收,1
220,动作,举,11
221,动作,交通,3
222,动作,休息,13
223,动作,住院,1
