pair_id,target,dimension,description
1,T恤,体积/范围/大小,小
2,T恤,功能,穿戴
3,T恤,动作,拿
4,T恤,动作,穿戴
5,T恤,地点,商场
6,T恤,时间,夏天
7,T恤,材质/质量,布料
8,T恤,材质/质量,舒服
9,T恤,职业,售货员
10,T恤,身体,胳膊
11,T恤,身体,身体
12,T恤,重量,轻
13,丈夫,事件,怀孕
14,丈夫,事件,结婚
15,丈夫,人际关系,儿子
16,丈夫,人际关系,女儿
17,丈夫,人际关系,妈妈
18,丈夫,人际关系,孩子
19,丈夫,人际关系,爸爸
20,丈夫,品质/性格,懒散
21,丈夫,品质/性格,温柔
22,丈夫,品质/性格,粗暴
23,丈夫,品质/性格,能干
24,丈夫,地点,家
25,丈夫,性别,男
26,丈夫,行为,上班
27,丈夫,行为,工作
28,丈夫,行为,照顾
29,丈夫,行为,结婚
30,上午,人际关系,妈妈
31,上午,人际关系,孩子
32,上午,人际关系,家人
33,上午,人际关系,爸爸
34,上午,动作,上班
35,上午,动作,吃饭
36,上午,动作,开会
37,上午,动作,洗漱
38,上午,生活用品,毛巾
39,上午,生活用品,牙刷
40,上午,职业,农民
41,上午,职业,员工
42,上午,职业,老师
43,上午,饮食,早餐
44,上午,饮食,牛奶
45,上午,饮食,鸡蛋
46,上厕所,地点,厕所
47,上厕所,程度,多
48,上厕所,程度,少
49,上厕所,身体,屁股
50,上厕所,身体,腿
51,上厕所,速度,快
52,上厕所,速度,慢
53,上班,交通工具,地铁
54,上班,交通工具,汽车
55,上班,交通工具,自行车
56,上班,交通工具,车
57,上班,地点,办公室
58,上班,服饰,制服
59,上班,生活用品,手机
60,上班,生活用品,电脑
61,上班,程度,认真
62,上班,身体,手
63,上班,身体,脑袋
64,上班,身体,腿
65,上班,身体,身体
66,下午,人际关系,学生
67,下午,人际关系,孩子
68,下午,人际关系,老人
69,下午,动作,上班
70,下午,动作,休息
71,下午,动作,吃
72,下午,动作,回家
73,下午,地点,公司
74,下午,地点,学校
75,下午,地点,工作单位
76,下午,家居,电脑
77,下午,状态,休息
78,下午,生活用品,手机
79,下午,生活用品,手表
80,下午,职业,员工
81,下午,职业,服务员
82,下午,职业,老板
83,下午,饮食,咖啡
84,下午,饮食,点心
85,下午,饮食,茶
86,下巴,体积/范围/大小,小
87,下巴,动作,吃
88,下巴,温度,暖
89,下巴,重量,轻
90,下巴,颜色,肉色
91,中午,交通工具,汽车
92,中午,交通工具,自行车
93,中午,人际关系,妈妈
94,中午,人际关系,孩子
95,中午,人际关系,家人
96,中午,人际关系,爸爸
97,中午,动作,午餐
98,中午,动作,吃饭
99,中午,动作,回家
100,中午,天气,太阳
101,中午,家居,床
102,中午,家居,桌子
103,中午,家居,椅子
104,中午,家居,电视
105,中午,温度,热
106,中午,生活用品,勺子
107,中午,生活用品,枕头
108,中午,生活用品,碗
109,中午,生活用品,筷子
110,中午,生活用品,被子
111,中午,职业,厨师
112,中午,职业,员工
113,中午,身体,手机
114,中午,身体,电脑
115,中午,饮食,中餐
116,中午,饮食,午餐
117,中午,饮食,汤
118,中午,饮食,饭
119,中药,事件,生病
120,中药,人际关系,同事
121,中药,人际关系,孩子
122,中药,人际关系,家人
123,中药,人际关系,朋友
124,中药,人际关系,病人
125,中药,功能,治疗
126,中药,动作,吃药
127,中药,动作,吃饭
128,中药,动作,喝水
129,中药,动作,看病
130,中药,医疗健康,发烧
131,中药,医疗健康,生病
132,中药,味道,甜
133,中药,味道,苦
134,中药,味道,酸
135,中药,地点,医院
136,中药,地点,家
137,中药,地点,药店
138,中药,形状,粉末
139,中药,时间,吃药
140,中药,时间,生病
141,中药,服饰,衣服
142,中药,材质/质量,粘稠
143,中药,温度,烫
144,中药,状态,液体
145,中药,生活用品,杯子
146,中药,生活用品,瓶子
147,中药,生活用品,碗
148,中药,职业,医生
149,中药,职业,护士
150,中药,职业,护工
151,中药,身体,嘴
152,中药,身体,皮肤
153,中药,颜色,棕色
154,中药,颜色,深色
155,中药,颜色,黑色
156,中药,饮食,纯净水
157,书店,事件,学习
158,书店,交通工具,汽车
159,书店,交通工具,自行车
160,书店,交通工具,车
161,书店,人际关系,同学
162,书店,体积/范围/大小,大
163,书店,体积/范围/大小,宽敞
164,书店,体积/范围/大小,拥挤
165,书店,功能,学习
166,书店,功能,购买
167,书店,动作,打字
168,书店,动作,读
169,书店,地点,图书馆
170,书店,天气,下雨
171,书店,天气,晴天
172,书店,形状,方形
173,书店,材质/质量,木头
174,书店,材质/质量,纸
175,书店,状态,安静
176,书店,身体,手
177,书店,身体,眼睛
178,书店,颜色,白色
179,书店,饮食,咖啡
180,书店,饮食,开水
181,书店,饮食,茶
182,书架,事件,装修
183,书架,体积/范围/大小,大
