id,dimension,template
0,体积/范围/大小,形态是[X]
1,功能,可以用于[X]
2,动作,与[X]动作有关
3,地点,地方在[X]
4,时间,时间是[X]
5,材质/质量,材质是[X]
6,职业,与[X]职业有关
7,身体,与[X]身体部位有关
8,重量,重量是[X]
9,事件,与[X]事件有关
10,人际关系,这个人与[X]有关
11,品质/性格,这个人具有[X]的性格或品质
12,性别,这是个[X]人
13,行为,与[X]行为有关
14,生活用品,与[X]生活用品有关
15,饮食,与[X]食物有关
16,程度,动作可以达到[X]程度
17,速度,动作的速度[X]
18,交通工具,与[X]交通工具有关
19,服饰,与[X]服饰有关
20,家居,与[X]居家用品有关
21,状态,状态是[X]
22,温度,温度是[X]
23,颜色,颜色是[X]
24,天气,与[X]天气有关
25,医疗健康,在医疗健康方面与[X]有关
26,味道,味道是[X]
27,形状,形状是[X]
28,文化娱乐产品,相关的文化娱乐或体育是[X]
29,相关,与[X]相关
30,年龄,这个人的年龄是[X]
31,动植物,与[X]动物或植物有关
32,体型,体型是[X]
33,其它,与[X]相关
